Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HDP,IBB,SCORE,W,L,SV,ERA
5/24/2019,vs ,Maryland,W,10-4,9,9,4,4,1,10,1,0,3,1,0,1,0,10-4,40,17,0,4
5/25/2019,vs ,Nebraska,W,18-8,9,11,8,8,4,9,2,0,2,1,0,3,0,18-8,41,17,1,8
5/25/2019,vs ,Nebraska,L,3-7,9,7,7,4,13,13,1,0,0,4,0,1,0,3-7,41,18,0,4
5/31/2019,vs ,Creighton,W,6-0,9,6,0,0,2,8,0,0,0,1,0,0,0,6-0,42,18,0,0
6/1/2019,vs ,Cincinnati,W,10-4,9,8,4,3,2,12,3,0,0,0,0,1,0,10-4,43,18,0,3
6/3/2019,vs ,Creighton,W,17-6,9,11,6,5,5,8,2,1,3,0,0,2,0,17-6,44,19,0,5
6/7/2019,at ,UCLA,W,3-2,9,4,2,2,2,9,0,0,0,0,0,0,0,3-2,45,19,1,2
6/9/2019,at ,UCLA,W,4-2,9,8,2,2,0,8,1,1,1,2,0,1,0,4-2,46,20,1,2
6/15/2019,vs ,Texas Tech,W,5-3,9,9,3,3,2,7,2,0,1,1,0,0,0,5-3,47,20,1,3
6/17/2019,vs ,Florida State,W,2-0,9,3,0,0,0,10,2,0,0,1,0,2,0,2-0,48,20,0,0
6/21/2019,vs ,Texas Tech,W,15-3,9,7,3,3,4,8,0,0,0,0,0,1,0,15-3,49,20,1,3
6/24/2019,vs ,Vanderbilt,W,7-4,9,7,4,3,1,8,1,0,1,2,0,1,0,7-4,50,20,0,3
6/26/2019,vs ,Vanderbilt,L,2-8,8,9,8,8,8,12,0,0,1,0,0,0,0,2-8,50,22,0,9
4/9/2019,,Indiana State,L,7-8,10,11,8,6,2,6,4,0,1,2,0,2,1,7-8,22,9,0,5.4
5/11/2019,,Indiana,L,8-10,9,10,10,10,4,12,3,0,3,1,0,2,1,8-10,36,13,0,10
5/12/2019,,Indiana,W,6-5,11,5,5,3,9,13,0,0,0,1,0,0,1,6-5,37,13,0,2.45
5/22/2019,vs ,Ohio State,L,1-2,9,3,2,2,6,5,1,0,0,0,0,1,1,1-2,38,17,0,2
6/2/2019,vs ,Creighton,L,7-11,9,9,11,10,8,8,2,0,2,2,0,2,1,7-11,43,19,0,10
6/25/2019,vs ,Vanderbilt,L,1-4,9,6,4,3,5,10,1,0,1,3,0,0,2,1-4,50,21,0,3
6/8/2019,,UCLA,L,4-5,12,9,5,2,10,8,1,0,1,0,1,1,3,4-5,45,20,0,1.5
