Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HDP,IBB,SCORE,W,L,SV,ERA
4/23/2017,at ,Maryland,L,1-2,8,6,2,2,2,3,2,0,0,1,1,1,0,1-2,21,14,0,2.25
4/23/2017,at ,Maryland,L,2-6,8,9,6,6,6,10,1,0,1,1,1,2,0,2-6,21,15,0,6.75
4/26/2017,,Toledo,W,11-1,9,5,1,1,1,10,0,0,1,0,0,1,0,11-1,22,15,0,1
4/28/2017,at ,Northwestern,L,2-3,8,6,3,0,2,13,0,0,0,1,0,1,1,2-3,22,16,0,0
4/28/2017,at ,Northwestern,W,8-1,9,6,1,1,1,5,1,0,0,1,0,0,0,8-1,23,16,0,1
4/29/2017,at ,Northwestern,W,13-5,9,5,5,4,6,8,0,0,1,2,0,3,0,13-5,24,16,0,4
5/5/2017,,Iowa,L,2-3,9,5,3,3,6,9,1,0,1,0,0,0,0,2-3,24,17,0,3
5/6/2017,,Iowa,W,2-1,9,5,1,0,1,12,0,0,0,0,0,0,0,2-1,25,17,1,0
5/7/2017,,Iowa,L,4-9,9,13,9,7,5,9,2,0,0,3,0,1,1,4-9,25,18,0,7
5/9/2017,vs ,Western Michigan,W,7-6,9,14,6,5,5,3,4,0,0,3,1,1,0,7-6,26,18,0,5
5/10/2017,,Eastern Michigan,W,11-6,9,12,6,6,2,4,3,1,1,1,0,0,0,11-6,27,18,0,6
5/12/2017,at ,Nebraska,W,6-3,9,10,3,3,5,12,3,0,0,4,0,0,0,6-3,28,18,1,3
5/13/2017,at ,Nebraska,L,2-5,8,11,5,5,3,7,2,0,0,1,0,0,0,2-5,28,19,0,5.63
5/14/2017,at ,Nebraska,L,7-8,8,12,8,6,4,10,4,0,0,1,1,0,1,7-8,28,20,0,6.75
5/16/2017,at ,Central Michigan,W,7-0,9,7,0,0,4,5,0,0,0,0,0,1,0,7-0,29,20,0,0
5/18/2017,,Michigan,W,6-1,9,2,1,1,1,12,0,0,0,0,0,0,0,6-1,30,20,0,1
5/19/2017,at ,Michigan,L,6-11,8,9,11,11,8,12,2,0,1,3,0,0,0,6-11,30,21,0,12.38
5/20/2017,,Michigan,L,1-2,10,11,2,2,1,6,0,0,0,0,0,0,0,1-2,30,22,0,1.8
