Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HDP,IBB,SCORE,W,L,SV,ERA
2/17/2017,at ,Abilene Christian,W,9-2,9,4,2,1,1,5,0,0,0,1,0,0,0,9-2,1,0,0,1
2/18/2017,at ,Abilene Christian,W,19-7,9,11,7,6,4,9,3,0,1,1,0,1,0,19-7,2,0,0,6
2/18/2017,at ,Abilene Christian,W,9-7,9,13,7,3,1,5,4,0,0,0,0,2,0,9-7,3,0,1,3
2/19/2017,at ,Abilene Christian,W,14-5,9,9,5,4,2,7,3,0,1,0,0,0,0,14-5,4,0,0,4
2/24/2017,at ,UNCG,W,5-4,9,9,4,4,1,10,2,1,0,0,0,1,0,5-4,5,0,1,4
2/25/2017,at ,UNCG,W,22-16,9,18,16,10,6,11,1,0,2,3,1,0,0,22-16,6,0,1,10
2/26/2017,at ,UNCG,L,1-4,8,8,4,3,3,7,0,0,1,2,0,0,0,1-4,6,1,0,3.38
3/3/2017,vs ,Furman,W,3-2,9,9,2,1,2,10,0,0,0,1,0,0,0,3-2,7,1,1,1
3/4/2017,vs ,Michigan State,L,2-10,8,10,10,10,6,4,1,0,0,4,0,3,0,2-10,7,2,0,11.25
3/5/2017,vs ,UT Martin,W,6-1,9,6,1,1,1,7,1,0,0,2,0,2,0,6-1,8,2,0,1
3/8/2017,vs ,Michigan State,W,9-2,9,8,2,1,1,15,3,0,0,1,0,1,0,9-2,9,2,0,1
3/10/2017,at ,South Carolina,L,2-3,8,3,3,2,1,6,0,1,1,0,0,1,0,2-3,9,3,0,2.25
3/11/2017,at ,South Carolina,L,2-5,8,9,5,5,5,5,1,0,1,1,0,2,0,2-5,9,4,0,5.63
3/17/2017,vs ,Campbell,W,3-1,9,8,1,1,1,19,2,0,0,0,0,2,0,3-1,10,4,1,1
3/18/2017,at ,Richmond,W,13-4,9,12,4,4,3,7,1,1,0,1,0,0,0,13-4,11,4,1,4
3/19/2017,vs ,Michigan State,W,2-1,9,4,1,1,4,7,0,1,0,0,0,1,0,2-1,12,4,1,1
3/21/2017,,Central Michigan,W,11-2,9,10,2,1,6,11,1,0,0,5,0,1,0,11-2,13,4,0,1
3/24/2017,at ,Illinois,W,12-1,9,6,1,0,3,5,0,0,0,0,0,0,0,12-1,14,4,0,0
3/24/2017,at ,Illinois,W,12-4,9,10,4,3,6,7,1,0,2,2,0,1,0,12-4,15,4,0,3
3/26/2017,at ,Illinois,W,17-6,9,10,6,6,2,6,1,1,2,1,0,3,0,17-6,16,4,0,6
3/28/2017,,Western Michigan,L,2-3,9,10,3,3,4,4,0,0,1,1,0,1,1,2-3,16,5,0,3
4/1/2017,,Minnesota,L,2-3,9,4,3,0,5,10,1,0,0,0,0,0,0,2-3,16,6,0,0
4/1/2017,,Minnesota,L,3-4,9,11,4,4,2,9,1,0,0,1,0,0,0,3-4,16,7,0,4
4/2/2017,,Minnesota,L,4-9,9,13,9,7,3,2,2,1,0,1,0,1,0,4-9,16,8,0,7
4/4/2017,at ,Eastern Michigan,L,3-4,8,4,4,3,5,8,0,0,1,0,0,2,0,3-4,16,9,0,3.38
4/8/2017,,Fresno State,W,10-4,9,8,4,1,1,8,2,0,0,0,0,0,0,10-4,17,9,0,1
4/8/2017,,Fresno State,W,9-5,9,10,5,5,0,7,2,0,0,2,0,0,0,9-5,18,9,1,5
4/9/2017,,Fresno State,W,8-2,9,8,2,2,0,3,0,0,1,0,0,0,0,8-2,19,9,0,2
4/11/2017,at ,Notre Dame,L,1-2,8,6,2,1,4,6,0,0,1,0,0,1,0,1-2,19,10,0,1.13
4/14/2017,,Ohio State,W,2-0,9,4,0,0,4,12,2,0,0,1,0,1,0,2-0,20,10,1,0
4/15/2017,,Ohio State,W,6-5,9,12,5,5,6,14,3,0,2,0,0,0,0,6-5,21,10,1,5
4/16/2017,,Ohio State,L,8-13,9,21,13,11,3,8,3,1,3,1,1,0,0,8-13,21,11,0,11
4/18/2017,at ,Michigan,L,4-12,8,17,12,12,4,8,7,0,0,2,1,1,0,4-12,21,12,0,13.5
4/21/2017,at ,Maryland,L,2-12,8,13,12,9,4,6,3,0,1,1,0,0,0,2-12,21,13,0,10.13
