Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
5/12/2014,away,Nebraska,L,1-4,26,1,7,1,0,0,1,0,0,0,0,0,0,0,0,2,21,6,1,0.26899999999999996
5/13/2014,home,Central Michigan,L,4-7,34,4,6,3,2,0,0,5,0,1,0,0,0,0,0,3,24,10,2,0.17600000000000002
5/16/2014,home,Penn State,W,4-1,36,4,11,4,1,1,0,1,0,3,0,0,0,2,0,4,27,11,0,0.306
5/16/2014,home,Penn State,W,4-2,30,4,7,4,0,0,1,2,0,5,0,1,0,1,0,2,27,6,0,0.233
5/17/2014,home,Penn State,W,7-6,36,7,10,4,4,0,0,3,0,3,1,1,0,0,0,3,27,14,1,0.278
5/21/2014,home,Illinois,W,2-1,33,2,6,1,0,0,1,3,0,2,0,1,1,0,1,12,27,8,1,0.182
5/22/2014,home,Michigan State,W,3-2,36,3,10,3,5,0,0,1,0,0,0,0,2,0,1,8,27,14,3,0.278
5/23/2014,home,Illinois,W,11-2,42,11,15,10,4,0,0,4,1,1,1,0,1,0,0,7,27,9,2,0.35700000000000004
5/24/2014,home,Michigan State,W,7-4,35,7,9,6,4,0,0,5,1,0,1,2,1,0,0,9,27,16,1,0.257
2/13/2015,home,New Mexico,W,9-3,38,9,14,9,3,0,1,3,0,2,1,0,0,3,0,5,27,6,1,0.368
2/14/2015,home,Oregon State,L,3-4,33,3,7,3,0,1,0,6,0,1,2,1,0,1,2,6,29,12,1,0.212
2/15/2015,home,Michigan State,L,2-3,35,2,7,1,0,0,0,0,0,0,0,0,0,0,0,8,24,16,2,0.2
2/20/2015,home,Houston Baptist,L,1-3,29,1,2,1,0,0,0,2,0,0,0,1,0,0,0,3,24,16,0,0.069
2/21/2015,home,UT Arlington,L,1-3,32,1,7,1,3,0,0,3,0,2,0,0,1,1,0,2,24,7,3,0.21899999999999997
2/22/2015,home,Michigan State,L,2-9,32,2,9,2,3,0,0,4,0,2,0,1,1,1,0,9,24,10,0,0.281
2/27/2015,home,UCLA,L,2-14,29,2,3,2,1,0,1,2,0,0,0,0,0,0,0,9,24,8,1,0.10300000000000001
2/28/2015,home,UCLA,L,0-5,31,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,24,9,1,0.161
3/1/2015,home,UCLA,L,1-4,18,1,5,1,1,0,0,3,0,0,0,0,0,0,0,2,12,5,2,0.278
3/6/2015,home,TOLEDO,W,5-1,33,5,10,3,1,0,0,6,1,6,1,1,2,1,0,4,27,7,0,0.303
3/7/2015,home,Michigan State,W,3-1,35,3,9,3,1,0,0,3,0,0,0,0,0,0,0,2,27,10,1,0.257
3/7/2015,home,Michigan State,L,0-5,28,0,3,0,1,0,0,2,0,1,0,1,1,0,0,6,24,13,0,0.107
3/8/2015,home,Coastal Carolina,W,6-5,33,6,10,6,3,1,1,3,1,1,1,0,1,1,0,3,27,8,0,0.303
3/11/2015,home,Michigan State,L,6-8,34,6,9,5,1,1,0,5,0,2,0,0,0,1,1,8,24,10,2,0.265
3/14/2015,home,Michigan State,W,11-9,41,11,14,11,3,0,0,4,0,2,0,1,0,0,0,7,27,10,2,0.341
3/15/2015,home,Michigan State,W,3-1,31,3,7,3,1,0,1,4,0,1,0,0,1,1,0,15,27,12,0,0.226
3/15/2015,home,Michigan State,L,5-6,33,5,8,5,2,0,0,3,0,0,0,1,1,1,0,9,24,10,1,0.242
3/20/2015,home,Ohio State,W,3-2,35,3,9,2,1,3,0,2,0,0,1,1,0,0,1,6,27,3,1,0.257
3/21/2015,home,Ohio State,L,5-6,37,5,12,5,1,1,2,5,0,1,1,0,0,0,2,5,24,10,1,0.324
3/22/2015,home,Ohio State,L,0-3,33,0,6,0,0,0,0,2,0,0,0,1,0,0,1,6,24,13,3,0.182
3/24/2015,away,Central Michigan,W,8-3,37,8,13,7,1,0,1,3,1,1,1,1,0,1,0,3,27,9,0,0.35100000000000003
3/25/2015,away,Oakland,W,7-1,34,7,10,6,2,0,0,5,0,2,0,1,0,1,0,4,27,10,0,0.294
3/28/2015,away,Illinois,L,4-8,38,4,14,4,3,0,0,3,0,1,1,0,1,0,0,7,27,10,1,0.368
3/29/2015,away,Illinois,W,5-2,33,5,11,5,3,0,0,0,0,1,0,0,0,0,2,5,27,10,0,0.33299999999999996
3/30/2015,away,Illinois,L,9-13,36,9,10,9,3,0,1,3,0,0,1,2,0,1,0,6,27,9,1,0.278
4/1/2015,home,Eastern Michigan,L,5-10,38,5,10,4,2,0,1,6,0,1,0,1,0,0,2,7,24,10,1,0.263
4/3/2015,home,Oregon,W,2-1,36,2,7,2,0,0,0,10,1,2,2,2,1,0,0,12,33,5,0,0.19399999999999998
4/4/2015,home,Oregon,W,9-4,37,9,11,9,1,0,3,3,0,1,0,4,0,1,0,5,27,12,0,0.297
4/5/2015,home,Oregon,W,7-4,36,7,12,7,0,0,2,4,0,1,0,0,2,0,0,10,27,16,0,0.33299999999999996
4/8/2015,away,Western Michigan,W,5-4,29,5,8,4,2,0,0,2,1,1,0,2,0,2,1,3,27,8,1,0.276
4/10/2015,away,Northwestern,L,6-7,36,6,13,6,2,0,0,4,0,0,0,2,1,0,1,3,27,11,3,0.361
4/11/2015,away,Northwestern,W,7-6,38,7,15,6,2,0,0,4,1,0,0,1,1,1,1,5,27,12,1,0.395
4/12/2015,away,Northwestern,W,14-3,42,14,20,14,5,0,0,6,0,3,0,1,0,0,2,4,27,3,0,0.47600000000000003
4/14/2015,home,Michigan State,L,2-4,32,2,8,2,0,0,0,3,0,0,0,1,2,0,1,5,24,7,0,0.25
4/15/2015,home,Central Michigan,L,7-8,38,7,12,7,2,0,0,3,0,1,0,3,0,1,0,1,26,11,0,0.316
4/17/2015,home,Rutgers,W,10-4,38,10,13,9,2,0,3,4,0,1,0,0,1,0,1,3,27,15,1,0.342
4/18/2015,home,Rutgers,W,15-7,42,15,15,15,4,0,5,2,0,0,0,2,1,0,0,4,27,16,1,0.35700000000000004
4/19/2015,home,Rutgers,W,6-2,32,6,11,6,1,0,1,2,0,0,0,2,2,2,0,2,27,11,0,0.344
4/21/2015,away,TOLEDO,W,9-2,30,9,10,8,3,3,0,7,0,3,0,1,0,2,0,4,27,6,1,0.33299999999999996
4/24/2015,home,Indiana,L,1-6,32,1,5,1,3,0,1,2,0,1,0,3,0,0,0,9,24,15,3,0.156
4/26/2015,home,Indiana,W,7-0,37,7,12,7,4,0,0,5,0,0,1,1,0,0,0,3,27,8,1,0.324
4/26/2015,home,Indiana,W,3-2,33,3,8,3,1,0,1,2,0,1,2,3,0,0,1,9,27,12,0,0.242
4/28/2015,home,Notre Dame,W,9-6,51,9,18,8,3,2,2,0,0,0,1,2,1,1,1,8,36,9,1,0.353
4/29/2015,away,Eastern Michigan,W,13-4,35,13,14,13,4,1,0,4,0,1,0,2,0,1,0,3,27,8,3,0.4
5/1/2015,away,Purdue,W,12-2,35,12,14,11,2,0,0,4,0,1,2,2,1,1,0,5,27,11,1,0.4
5/2/2015,away,Purdue,W,10-7,40,10,15,9,1,0,2,3,0,0,0,0,0,1,0,5,27,7,1,0.375
5/3/2015,away,Purdue,L,4-6,32,4,8,4,5,0,1,1,0,0,1,1,0,0,1,5,27,10,2,0.25
5/8/2015,away,Penn State,L,3-5,37,3,11,3,2,0,1,0,0,1,1,0,0,0,1,4,27,10,1,0.297
5/9/2015,away,Penn State,W,5-4,33,5,7,4,1,0,2,5,0,1,1,3,1,0,0,5,27,9,0,0.212
5/10/2015,away,Penn State,W,3-1,29,3,7,3,1,0,0,2,0,0,2,0,0,0,0,4,27,7,0,0.24100000000000002
5/12/2015,home,Central Michigan,W,13-7,39,13,16,13,4,0,2,3,0,0,1,1,1,0,0,4,27,12,1,0.41
5/15/2015,home,Minnesota,W,5-4,32,5,7,5,1,0,3,1,0,0,0,1,1,0,1,5,27,15,1,0.21899999999999997
5/15/2015,home,Minnesota,L,5-7,37,5,12,4,0,0,1,4,0,1,1,0,0,0,1,9,24,6,2,0.324
5/16/2015,home,Minnesota,L,1-2,29,1,4,1,0,0,0,1,0,0,1,0,1,0,1,9,24,9,2,0.138
5/20/2015,home,Maryland,L,1-2,33,1,7,1,3,0,0,2,0,1,1,1,0,0,0,11,24,8,1,0.212
5/21/2015,home,Michigan State,L,7-9,33,7,9,7,0,0,0,5,0,1,0,0,1,2,0,9,24,10,0,0.273
5/22/2015,home,Michigan State,W,2-0,30,2,4,2,0,0,0,8,0,2,1,0,0,0,1,5,27,11,1,0.133
2/19/2016,home,Michigan State,L,5-11,35,5,7,3,1,0,1,3,0,0,0,2,1,0,0,12,24,6,1,0.2
2/20/2016,home,Furman,W,15-8,43,15,18,13,6,1,1,8,0,3,1,0,0,1,0,3,27,11,3,0.419
2/21/2016,home,Michigan State,L,2-7,31,2,6,2,1,0,0,4,0,0,1,0,0,0,1,9,24,13,2,0.19399999999999998
2/26/2016,home,Michigan State,L,2-3,31,2,6,2,0,0,1,2,0,0,1,2,2,0,0,8,24,13,0,0.19399999999999998
2/27/2016,home,A&M-Corpus Christi,W,9-3,36,9,12,9,1,1,1,3,0,1,1,0,1,2,0,6,27,12,4,0.33299999999999996
2/28/2016,home,UCF,W,6-2,34,6,9,5,0,0,0,2,0,4,1,0,0,0,0,7,27,11,0,0.265
3/4/2016,home,Southern Miss,L,0-2,31,0,5,0,1,0,0,0,0,1,0,0,1,0,1,11,24,7,2,0.161
3/5/2016,home,Auburn,W,3-0,34,3,9,3,2,0,1,2,0,2,1,0,1,0,0,8,27,9,0,0.265
3/6/2016,home,Michigan State,L,0-3,29,0,4,0,1,0,0,2,0,0,0,1,1,0,0,7,24,9,0,0.138
3/8/2016,home,Illinois State,W,15-0,43,15,19,15,4,0,0,3,0,0,1,1,1,1,0,4,27,12,1,0.442
3/9/2016,home,Michigan State,L,6-7,31,6,5,5,1,0,0,5,0,0,0,3,2,0,1,6,24,10,0,0.161
3/11/2016,home,Butler,W,9-2,35,9,15,8,2,1,1,2,0,2,1,3,0,1,1,4,27,5,0,0.429
3/12/2016,home,Michigan State,L,7-8,40,7,16,6,3,0,0,3,0,1,0,2,0,0,1,10,24,6,3,0.4
3/13/2016,home,North Dakota State,W,9-5,43,9,18,7,5,0,1,1,0,0,1,1,0,0,0,6,27,11,2,0.419
3/18/2016,home,USF,W,11-1,40,11,15,8,2,0,1,6,0,1,0,3,0,1,1,9,27,4,1,0.375
3/19/2016,home,USF,L,0-2,31,0,5,0,0,0,0,3,0,0,1,1,0,0,0,11,24,7,1,0.161
3/20/2016,home,USF,L,5-7,35,5,8,3,4,0,0,7,0,0,0,3,1,0,1,7,24,7,0,0.22899999999999998
3/23/2016,away,Central Michigan,W,4-1,29,4,5,3,0,0,0,2,0,5,0,1,0,0,1,2,27,13,2,0.172
3/26/2016,away,Rutgers,W,5-4,32,5,11,5,1,0,0,9,0,0,0,0,2,0,1,7,27,9,5,0.344
3/26/2016,away,Rutgers,W,5-2,30,5,9,4,1,0,1,3,0,1,0,1,3,0,0,4,27,4,0,0.3
3/27/2016,away,Rutgers,W,6-5,35,6,11,6,1,0,2,1,0,0,0,0,0,0,0,9,27,11,0,0.314
3/29/2016,away,Oakland,L,1-3,31,1,7,1,1,0,0,0,0,1,2,1,0,0,1,4,27,10,1,0.226
4/1/2016,away,Oregon,W,3-2,35,3,8,3,2,0,1,2,0,0,1,0,1,0,0,3,30,9,0,0.22899999999999998
4/5/2016,away,Eastern Michigan,L,2-4,30,2,5,1,1,0,0,5,0,2,0,0,1,0,0,4,27,11,0,0.16699999999999998
4/8/2016,home,Penn State,W,7-0,38,7,15,6,1,1,0,3,0,2,1,0,1,2,1,3,27,5,0,0.395
4/10/2016,home,Penn State,W,5-2,30,5,6,5,0,1,0,4,0,1,2,1,0,2,0,8,27,9,0,0.2
4/10/2016,home,Penn State,L,6-7,37,6,12,3,1,0,0,2,0,2,0,1,0,1,1,5,26,12,2,0.324
4/12/2016,away,Michigan,W,11-5,32,11,11,8,2,0,0,7,1,0,0,1,1,1,1,7,27,11,1,0.344
4/13/2016,home,Central Michigan,W,7-3,48,7,11,6,3,0,0,7,1,5,1,1,2,3,0,8,42,13,2,0.22899999999999998
4/15/2016,home,Purdue,W,11-0,43,11,17,10,3,2,1,2,0,1,0,2,1,0,0,2,27,11,1,0.395
4/16/2016,home,Purdue,W,5-3,39,5,13,5,4,0,0,2,0,0,0,0,1,0,0,9,27,14,0,0.33299999999999996
4/17/2016,home,Purdue,L,2-5,32,2,8,2,2,0,0,0,0,1,0,0,2,0,1,10,24,12,0,0.25
4/19/2016,away,Notre Dame,L,0-1,31,0,7,0,0,0,0,0,0,0,0,0,1,0,0,2,27,9,0,0.226
4/20/2016,away,Western Michigan,W,6-5,31,6,7,6,0,0,0,9,1,1,0,1,1,0,1,3,27,12,0,0.226
4/22/2016,away,Indiana,L,2-3,30,2,6,2,2,0,1,2,0,0,1,0,1,0,1,4,27,7,0,0.2
4/23/2016,away,Indiana,W,9-0,35,9,12,9,0,0,1,3,0,1,0,0,1,0,0,6,27,13,2,0.34299999999999997
4/24/2016,away,Indiana,L,4-8,41,4,9,4,5,0,0,4,0,0,0,0,0,0,1,9,33,6,2,0.22
