Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HDP,IBB,SCORE,W,L,SV,ERA
4/10/2016,at ,Penn State,W,5-2,9,9,2,2,3,6,0,0,0,1,0,0,0,5-2,15,11,1,2
4/10/2016,at ,Penn State,L,6-7,8.2,11,7,5,1,3,1,0,0,1,0,3,0,6-7,15,12,0,5.19
4/12/2016,,Michigan,W,11-5,9,11,5,5,3,5,2,0,0,1,0,1,0,11-5,16,12,0,5
4/13/2016,vs ,Central Michigan,W,7-3,14,10,3,1,9,15,4,0,0,0,0,2,3,7-3,17,12,0,0.64
4/15/2016,at ,Purdue,W,11-0,9,9,0,0,0,4,1,0,0,0,0,2,0,11-0,18,12,0,0
4/16/2016,at ,Purdue,W,5-3,9,6,3,3,11,8,1,0,0,2,0,1,0,5-3,19,12,1,3
4/17/2016,at ,Purdue,L,2-5,8,12,5,5,3,7,2,0,2,1,0,2,1,2-5,19,13,0,5.63
4/19/2016,,Notre Dame,L,0-1,9,4,1,1,1,4,0,0,1,0,0,1,0,0-1,19,14,0,1
4/20/2016,,Western Michigan,W,6-5,9,8,5,5,4,7,3,0,1,1,0,0,0,6-5,20,14,0,5
4/22/2016,,Indiana,L,2-3,9,7,3,3,3,11,1,0,0,0,0,1,0,2-3,20,15,0,3
4/23/2016,,Indiana,W,9-0,9,5,0,0,3,8,1,0,0,1,0,0,0,9-0,21,15,0,0
4/24/2016,,Indiana,L,4-8,11,11,8,5,6,14,3,1,0,1,0,1,0,4-8,21,16,0,4.09
4/27/2016,,Toledo,W,4-1,9,9,1,0,2,3,0,0,0,0,0,0,0,4-1,22,16,1,0
4/29/2016,at ,Michigan,L,3-4,10.2,9,4,4,6,14,3,0,0,1,0,0,2,3-4,22,17,0,3.37
4/30/2016,,Michigan,W,7-6,9,10,6,5,1,7,2,0,1,0,0,1,0,7-6,23,17,1,5
5/1/2016,at ,Michigan,W,7-4,9,12,4,4,4,6,1,0,0,0,0,0,0,7-4,24,17,1,4
5/7/2016,,Nebraska,L,3-6,9,9,6,3,4,7,2,0,0,0,0,2,0,3-6,24,18,0,3
5/8/2016,,Nebraska,W,4-2,9,7,2,1,1,8,0,0,0,1,0,0,0,4-2,25,18,1,1
5/9/2016,,Nebraska,L,4-7,9,11,7,6,1,5,3,0,0,1,0,1,0,4-7,25,19,0,6
5/11/2016,vs ,Michigan State,L,2-3,8,7,3,2,3,3,2,0,1,2,0,1,0,2-3,25,20,0,2.25
5/13/2016,at ,Iowa,W,5-1,9,7,1,0,4,6,0,0,0,0,0,2,0,5-1,26,20,0,0
5/14/2016,at ,Iowa,L,1-3,8,9,3,3,5,8,4,0,1,0,0,0,0,1-3,26,21,0,3.38
5/15/2016,at ,Iowa,L,1-5,8,9,5,2,4,13,0,0,0,0,0,0,0,1-5,26,22,0,2.25
5/17/2016,at ,Central Michigan,L,1-12,8,11,12,10,6,5,1,0,1,0,0,3,0,1-12,26,23,0,11.25
5/19/2016,,Maryland,L,3-6,9,9,6,5,2,9,3,0,0,2,0,2,0,3-6,26,24,0,5
5/20/2016,,Maryland,W,4-3,13,10,3,3,5,15,2,2,0,0,0,0,0,4-3,27,24,0,2.08
5/21/2016,,Maryland,L,4-6,9,10,6,5,1,8,3,0,0,0,0,2,0,4-6,27,25,0,5
5/25/2016,vs ,Nebraska,W,5-1,9,3,1,1,2,2,1,0,0,1,0,0,0,5-1,28,25,0,1
5/27/2016,vs ,Maryland,W,4-3,9,6,3,3,2,6,0,0,2,1,0,1,0,4-3,29,25,1,3
5/28/2016,vs ,Michigan State,W,3-2,10,8,2,2,4,10,0,0,0,0,0,0,0,3-2,30,25,1,1.8
5/29/2016,vs ,Michigan State,W,7-3,9,9,3,3,2,4,2,0,0,0,0,0,0,7-3,31,25,1,3
