Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HDP,IBB,SCORE,W,L,SV,ERA
2/19/2016,vs ,Michigan State,L,5-11,8,16,11,10,7,8,4,1,1,6,1,1,0,5-11,0,1,0,11.25
2/20/2016,at ,Furman,W,15-8,9,10,8,5,5,8,3,0,0,1,0,0,0,15-8,1,1,0,5
2/21/2016,vs ,Michigan State,L,2-7,8,7,7,6,6,8,3,0,1,2,0,0,0,2-7,1,2,0,6.75
2/26/2016,vs ,Michigan State,L,2-3,8,10,3,3,2,6,2,1,0,0,0,0,1,2-3,1,3,0,3.38
2/27/2016,vs ,A&M-Corpus Christi,W,9-3,9,8,3,1,3,6,0,0,0,1,0,0,0,9-3,2,3,0,1
2/28/2016,vs ,UCF,W,6-2,9,5,2,2,4,6,2,0,0,1,0,1,0,6-2,3,3,0,2
3/4/2016,vs ,Southern Miss,L,0-2,8,6,2,1,2,9,0,1,0,0,0,0,0,0-2,3,4,0,1.13
3/5/2016,vs ,Auburn,W,3-0,9,5,0,0,2,9,1,0,0,0,0,1,0,3-0,4,4,1,0
3/6/2016,vs ,Michigan State,L,0-3,8,8,3,3,1,2,2,0,0,0,0,1,0,0-3,4,5,0,3.38
3/8/2016,vs ,Illinois State,W,15-0,9,1,0,0,2,8,1,0,0,0,0,1,0,15-0,5,5,0,0
3/9/2016,vs ,Michigan State,L,6-7,8,13,7,7,0,3,1,0,0,1,0,0,0,6-7,5,6,0,7.88
3/11/2016,vs ,Butler,W,9-2,9,6,2,2,5,11,0,0,0,1,0,1,0,9-2,6,6,0,2
3/12/2016,vs ,Michigan State,L,7-8,8,13,8,7,3,7,5,0,2,2,0,0,0,7-8,6,7,0,7.88
3/13/2016,vs ,North Dakota State,W,9-5,9,12,5,4,3,5,3,0,0,1,0,1,0,9-5,7,7,0,4
3/18/2016,at ,USF,W,11-1,9,4,1,0,1,13,2,0,0,0,0,0,0,11-1,8,7,0,0
3/19/2016,at ,USF,L,0-2,8,5,2,1,5,9,1,0,0,0,0,2,0,0-2,8,8,0,1.13
3/20/2016,at ,USF,L,5-7,8,11,7,7,0,7,0,1,4,0,0,0,0,5-7,8,9,0,7.88
3/23/2016,,Central Michigan,W,4-1,9,8,1,0,5,11,1,0,0,1,0,0,0,4-1,9,9,1,0
3/26/2016,,Rutgers,W,5-4,9,10,4,2,2,11,1,0,1,0,0,0,0,5-4,10,9,1,2
3/26/2016,,Rutgers,W,5-2,9,6,2,2,3,10,1,0,0,0,0,0,0,5-2,11,9,1,2
3/27/2016,,Rutgers,W,6-5,9,8,5,5,2,6,2,0,0,0,1,0,0,6-5,12,9,1,5
3/29/2016,,Oakland,L,1-3,9,8,3,3,0,12,3,0,0,0,0,0,0,1-3,12,10,0,3
4/1/2016,,Oregon,W,3-2,10,5,2,2,3,14,0,0,0,0,0,0,0,3-2,13,10,0,1.8
4/5/2016,,Eastern Michigan,L,2-4,9,7,4,4,5,7,2,0,2,0,0,1,1,2-4,13,11,0,4
4/8/2016,at ,Penn State,W,7-0,9,6,0,0,2,11,1,0,0,0,0,0,0,7-0,14,11,0,0
