Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HDP,IBB,SCORE,W,L,SV,ERA
2/13/2015,vs ,New Mexico,W,9-3,9,5,3,3,5,9,0,0,1,3,1,1,0,9-3,1,0,0,3
2/14/2015,vs ,Oregon State,L,3-4,9.2,10,4,3,5,7,2,0,1,0,0,0,1,3-4,1,1,0,2.79
2/15/2015,vs ,Michigan State,L,2-3,8,3,3,0,0,5,0,0,0,3,0,1,0,2-3,1,2,0,0
2/20/2015,vs ,Houston Baptist,L,1-3,8,6,3,3,2,4,1,0,0,1,0,1,0,1-3,1,3,0,3.38
2/21/2015,at ,UT Arlington,L,1-3,8,7,3,0,1,9,2,0,0,0,0,0,0,1-3,1,4,0,0
2/22/2015,vs ,Michigan State,L,2-9,8,10,9,9,5,4,0,0,2,2,0,1,0,2-9,1,5,0,10.13
2/27/2015,at ,UCLA,L,2-14,8,15,14,14,8,9,5,0,2,2,0,0,0,2-14,1,6,0,15.75
2/28/2015,at ,UCLA,L,0-5,8,7,5,5,3,5,1,2,0,0,0,3,1,0-5,1,7,0,5.63
3/1/2015,at ,UCLA,L,1-4,4,6,4,3,0,1,4,0,0,0,0,0,0,1-4,1,8,0,6.75
3/6/2015,vs ,TOLEDO,W,5-1,9,6,1,1,1,5,0,0,0,0,0,1,0,5-1,2,8,0,1
3/7/2015,vs ,Michigan State,W,3-1,9,7,1,1,1,5,0,0,0,0,0,0,0,3-1,3,8,1,1
3/7/2015,vs ,Michigan State,L,0-5,8,10,5,5,1,3,2,0,0,1,0,1,0,0-5,3,9,0,5.63
3/8/2015,at ,Coastal Carolina,W,6-5,9,7,5,5,6,9,2,0,1,0,0,0,0,6-5,4,9,0,5
3/11/2015,vs ,Michigan State,L,6-8,8,11,8,6,2,9,4,0,1,1,0,1,0,6-8,4,10,0,6.75
3/14/2015,vs ,Michigan State,W,11-9,9,10,9,8,3,6,1,0,2,0,0,1,0,11-9,5,10,1,8
3/15/2015,vs ,Michigan State,W,3-1,9,5,1,1,3,4,1,0,0,0,0,0,0,3-1,6,10,0,1
3/15/2015,vs ,Michigan State,L,5-6,8,10,6,4,6,4,1,0,0,1,0,2,0,5-6,6,11,0,4.5
3/20/2015,at ,Ohio State,W,3-2,9,4,2,2,4,10,1,1,0,1,0,0,0,3-2,7,11,0,2
3/21/2015,at ,Ohio State,L,5-6,8,12,6,5,1,4,1,0,1,1,0,0,0,5-6,7,12,0,5.63
3/22/2015,at ,Ohio State,L,0-3,8,5,3,2,4,8,0,0,1,0,1,0,0,0-3,7,13,0,2.25
3/24/2015,,Central Michigan,W,8-3,9,6,3,3,6,9,0,0,1,1,0,2,0,8-3,8,13,0,3
3/25/2015,,Oakland,W,7-1,9,5,1,1,1,11,1,0,0,0,0,0,0,7-1,9,13,0,1
3/28/2015,,Illinois,L,4-8,9,10,8,7,7,5,2,0,0,0,0,1,1,4-8,9,14,0,7
3/29/2015,,Illinois,W,5-2,9,7,2,2,5,8,1,0,1,0,0,1,0,5-2,10,14,0,2
3/30/2015,,Illinois,L,9-13,9,14,13,10,7,5,3,0,0,5,0,0,1,9-13,10,15,0,10
4/1/2015,at ,Eastern Michigan,L,5-10,8,13,10,8,2,6,3,0,0,1,0,1,0,5-10,10,16,0,9
4/3/2015,at ,Oregon,W,2-1,11,2,1,1,8,15,0,0,0,0,0,1,0,2-1,11,16,1,0.82
4/4/2015,at ,Oregon,W,9-4,9,8,4,4,5,8,1,0,0,0,0,0,0,9-4,12,16,0,4
4/5/2015,at ,Oregon,W,7-4,9,13,4,4,4,4,0,0,1,0,0,1,0,7-4,13,16,0,4
4/8/2015,,Western Michigan,W,5-4,9,7,4,3,4,6,1,0,0,1,0,0,0,5-4,14,16,0,3
4/10/2015,,Northwestern,L,6-7,9,14,7,1,0,5,1,0,1,0,0,1,0,6-7,14,17,0,1
4/11/2015,,Northwestern,W,7-6,9,8,6,6,1,8,2,0,0,0,0,2,0,7-6,15,17,0,6
4/12/2015,,Northwestern,W,14-3,9,12,3,3,5,10,4,0,0,1,0,0,0,14-3,16,17,0,3
4/14/2015,vs ,Michigan State,L,2-4,8,8,4,4,2,7,3,0,0,3,0,1,0,2-4,16,18,0,4.5
4/15/2015,vs ,Central Michigan,L,7-8,8.2,7,8,8,9,8,1,0,0,2,1,2,0,7-8,16,19,0,8.31
4/17/2015,at ,Rutgers,W,10-4,9,8,4,3,3,4,2,0,0,0,0,0,0,10-4,17,19,0,3
4/18/2015,at ,Rutgers,W,15-7,9,8,7,6,4,7,1,1,0,0,0,0,0,15-7,18,19,0,6
4/19/2015,at ,Rutgers,W,6-2,9,8,2,2,4,5,1,0,0,0,0,0,0,6-2,19,19,0,2
4/21/2015,,TOLEDO,W,9-2,9,6,2,2,0,10,1,0,1,0,0,2,0,9-2,20,19,0,2
4/24/2015,at ,Indiana,L,1-6,8,15,6,5,1,2,3,0,0,0,0,0,1,1-6,20,20,0,5.63
4/26/2015,at ,Indiana,W,7-0,9,1,0,0,3,8,0,0,0,1,1,0,0,7-0,21,20,0,0
4/26/2015,at ,Indiana,W,3-2,9,5,2,2,0,10,2,0,0,0,0,1,0,3-2,22,20,1,2
4/28/2015,at ,Notre Dame,W,9-6,12,10,6,6,7,14,3,0,1,0,0,1,1,9-6,23,20,0,4.5
4/29/2015,,Eastern Michigan,W,13-4,9,8,4,0,2,6,0,0,0,1,0,2,0,13-4,24,20,0,0
5/1/2015,,Purdue,W,12-2,9,8,2,2,6,5,2,0,0,0,0,0,0,12-2,25,20,0,2
5/2/2015,,Purdue,W,10-7,9,6,7,5,4,4,2,0,2,0,0,1,0,10-7,26,20,0,5
5/3/2015,,Purdue,L,4-6,9,9,6,6,2,8,2,0,2,2,0,2,0,4-6,26,21,0,6
5/8/2015,,Penn State,L,3-5,9,10,5,5,1,6,1,0,2,1,0,1,0,3-5,26,22,0,5
5/9/2015,,Penn State,W,5-4,9,11,4,4,3,9,4,1,0,1,0,0,0,5-4,27,22,0,4
5/10/2015,,Penn State,W,3-1,9,4,1,1,2,6,2,0,0,1,0,1,0,3-1,28,22,1,1
5/12/2015,at ,Central Michigan,W,13-7,9,11,7,6,4,8,0,0,2,3,0,1,0,13-7,29,22,0,6
5/15/2015,at ,Minnesota,W,5-4,9,11,4,4,4,5,3,0,2,1,0,2,0,5-4,30,22,0,4
5/15/2015,at ,Minnesota,L,5-7,8,12,7,6,1,10,1,0,2,0,0,1,0,5-7,30,23,0,6.75
5/16/2015,at ,Minnesota,L,1-2,8,6,2,2,1,6,1,0,0,0,0,0,0,1-2,30,24,0,2.25
5/20/2015,vs ,Maryland,L,1-2,8,6,2,1,3,5,0,0,0,1,0,1,1,1-2,30,25,0,1.13
5/21/2015,vs ,Michigan State,L,7-9,8,13,9,9,4,5,0,0,2,0,0,3,0,7-9,30,26,0,10.13
5/22/2015,vs ,Michigan State,W,2-0,9,6,0,0,0,2,0,0,0,0,0,1,0,2-0,31,26,0,0
