Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
2/13/2015,vs ,New Mexico,W,9-3,38,9,14,9,3,0,1,3,0,2,1,0,0,3,0,5,27,6,1,0.368
2/14/2015,vs ,Oregon State,L,3-4,33,3,7,3,0,1,0,6,0,1,2,1,0,1,2,6,29,12,1,0.212
2/15/2015,vs ,Michigan State,L,2-3,35,2,7,1,0,0,0,0,0,0,0,0,0,0,0,8,24,16,2,0.2
2/20/2015,vs ,Houston Baptist,L,1-3,29,1,2,1,0,0,0,2,0,0,0,1,0,0,0,3,24,16,0,0.069
2/21/2015,at ,UT Arlington,L,1-3,32,1,7,1,3,0,0,3,0,2,0,0,1,1,0,2,24,7,3,0.219
2/22/2015,vs ,Michigan State,L,2-9,32,2,9,2,3,0,0,4,0,2,0,1,1,1,0,9,24,10,0,0.281
2/27/2015,at ,UCLA,L,2-14,29,2,3,2,1,0,1,2,0,0,0,0,0,0,0,9,24,8,1,0.103
2/28/2015,at ,UCLA,L,0-5,31,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,24,9,1,0.161
3/1/2015,at ,UCLA,L,1-4,18,1,5,1,1,0,0,3,0,0,0,0,0,0,0,2,12,5,2,0.278
3/6/2015,vs ,TOLEDO,W,5-1,33,5,10,3,1,0,0,6,1,6,1,1,2,1,0,4,27,7,0,0.303
3/7/2015,vs ,Michigan State,W,3-1,35,3,9,3,1,0,0,3,0,0,0,0,0,0,0,2,27,10,1,0.257
3/7/2015,vs ,Michigan State,L,0-5,28,0,3,0,1,0,0,2,0,1,0,1,1,0,0,6,24,13,0,0.107
3/8/2015,at ,Coastal Carolina,W,6-5,33,6,10,6,3,1,1,3,1,1,1,0,1,1,0,3,27,8,0,0.303
3/11/2015,vs ,Michigan State,L,6-8,34,6,9,5,1,1,0,5,0,2,0,0,0,1,1,8,24,10,2,0.265
3/14/2015,vs ,Michigan State,W,11-9,41,11,14,11,3,0,0,4,0,2,0,1,0,0,0,7,27,10,2,0.341
3/15/2015,vs ,Michigan State,W,3-1,31,3,7,3,1,0,1,4,0,1,0,0,1,1,0,15,27,12,0,0.226
3/15/2015,vs ,Michigan State,L,5-6,33,5,8,5,2,0,0,3,0,0,0,1,1,1,0,9,24,10,1,0.242
3/20/2015,at ,Ohio State,W,3-2,35,3,9,2,1,3,0,2,0,0,1,1,0,0,1,6,27,3,1,0.257
3/21/2015,at ,Ohio State,L,5-6,37,5,12,5,1,1,2,5,0,1,1,0,0,0,2,5,24,10,1,0.324
3/22/2015,at ,Ohio State,L,0-3,33,0,6,0,0,0,0,2,0,0,0,1,0,0,1,6,24,13,3,0.182
3/24/2015,,Central Michigan,W,8-3,37,8,13,7,1,0,1,3,1,1,1,1,0,1,0,3,27,9,0,0.351
3/25/2015,,Oakland,W,7-1,34,7,10,6,2,0,0,5,0,2,0,1,0,1,0,4,27,10,0,0.294
3/28/2015,,Illinois,L,4-8,38,4,14,4,3,0,0,3,0,1,1,0,1,0,0,7,27,10,1,0.368
3/29/2015,,Illinois,W,5-2,33,5,11,5,3,0,0,0,0,1,0,0,0,0,2,5,27,10,0,0.333
3/30/2015,,Illinois,L,9-13,36,9,10,9,3,0,1,3,0,0,1,2,0,1,0,6,27,9,1,0.278
4/1/2015,at ,Eastern Michigan,L,5-10,38,5,10,4,2,0,1,6,0,1,0,1,0,0,2,7,24,10,1,0.263
4/3/2015,at ,Oregon,W,2-1,36,2,7,2,0,0,0,10,1,2,2,2,1,0,0,12,33,5,0,0.194
4/4/2015,at ,Oregon,W,9-4,37,9,11,9,1,0,3,3,0,1,0,4,0,1,0,5,27,12,0,0.297
4/5/2015,at ,Oregon,W,7-4,36,7,12,7,0,0,2,4,0,1,0,0,2,0,0,10,27,16,0,0.333
4/8/2015,,Western Michigan,W,5-4,29,5,8,4,2,0,0,2,1,1,0,2,0,2,1,3,27,8,1,0.276
4/10/2015,,Northwestern,L,6-7,36,6,13,6,2,0,0,4,0,0,0,2,1,0,1,3,27,11,3,0.361
