Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
4/11/2015,,Northwestern,W,7-6,38,7,15,6,2,0,0,4,1,0,0,1,1,1,1,5,27,12,1,0.395
4/12/2015,,Northwestern,W,14-3,42,14,20,14,5,0,0,6,0,3,0,1,0,0,2,4,27,3,0,0.476
4/14/2015,vs ,Michigan State,L,2-4,32,2,8,2,0,0,0,3,0,0,0,1,2,0,1,5,24,7,0,0.25
4/15/2015,vs ,Central Michigan,L,7-8,38,7,12,7,2,0,0,3,0,1,0,3,0,1,0,1,26,11,0,0.316
4/17/2015,at ,Rutgers,W,10-4,38,10,13,9,2,0,3,4,0,1,0,0,1,0,1,3,27,15,1,0.342
4/18/2015,at ,Rutgers,W,15-7,42,15,15,15,4,0,5,2,0,0,0,2,1,0,0,4,27,16,1,0.357
4/19/2015,at ,Rutgers,W,6-2,32,6,11,6,1,0,1,2,0,0,0,2,2,2,0,2,27,11,0,0.344
4/21/2015,,TOLEDO,W,9-2,30,9,10,8,3,3,0,7,0,3,0,1,0,2,0,4,27,6,1,0.333
4/24/2015,at ,Indiana,L,1-6,32,1,5,1,3,0,1,2,0,1,0,3,0,0,0,9,24,15,3,0.156
4/26/2015,at ,Indiana,W,7-0,37,7,12,7,4,0,0,5,0,0,1,1,0,0,0,3,27,8,1,0.324
4/26/2015,at ,Indiana,W,3-2,33,3,8,3,1,0,1,2,0,1,2,3,0,0,1,9,27,12,0,0.242
4/28/2015,at ,Notre Dame,W,9-6,51,9,18,8,3,2,2,0,0,0,1,2,1,1,1,8,36,9,1,0.353
4/29/2015,,Eastern Michigan,W,13-4,35,13,14,13,4,1,0,4,0,1,0,2,0,1,0,3,27,8,3,0.4
5/1/2015,,Purdue,W,12-2,35,12,14,11,2,0,0,4,0,1,2,2,1,1,0,5,27,11,1,0.4
5/2/2015,,Purdue,W,10-7,40,10,15,9,1,0,2,3,0,0,0,0,0,1,0,5,27,7,1,0.375
5/3/2015,,Purdue,L,4-6,32,4,8,4,5,0,1,1,0,0,1,1,0,0,1,5,27,10,2,0.25
5/8/2015,,Penn State,L,3-5,37,3,11,3,2,0,1,0,0,1,1,0,0,0,1,4,27,10,1,0.297
5/9/2015,,Penn State,W,5-4,33,5,7,4,1,0,2,5,0,1,1,3,1,0,0,5,27,9,0,0.212
5/10/2015,,Penn State,W,3-1,29,3,7,3,1,0,0,2,0,0,2,0,0,0,0,4,27,7,0,0.241
5/12/2015,at ,Central Michigan,W,13-7,39,13,16,13,4,0,2,3,0,0,1,1,1,0,0,4,27,12,1,0.41
5/15/2015,at ,Minnesota,W,5-4,32,5,7,5,1,0,3,1,0,0,0,1,1,0,1,5,27,15,1,0.219
5/15/2015,at ,Minnesota,L,5-7,37,5,12,4,0,0,1,4,0,1,1,0,0,0,1,9,24,6,2,0.324
5/16/2015,at ,Minnesota,L,1-2,29,1,4,1,0,0,0,1,0,0,1,0,1,0,1,9,24,9,2,0.138
5/20/2015,vs ,Maryland,L,1-2,33,1,7,1,3,0,0,2,0,1,1,1,0,0,0,11,24,8,1,0.212
5/21/2015,vs ,Michigan State,L,7-9,33,7,9,7,0,0,0,5,0,1,0,0,1,2,0,9,24,10,0,0.273
5/22/2015,vs ,Michigan State,W,2-0,30,2,4,2,0,0,0,8,0,2,1,0,0,0,1,5,27,11,1,0.133
