Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
5/12/2019,,Indiana,W,6-5,42,6,12,6,4,0,0,4,0,1,0,1,1,0,0,12,33,10,5,0.286
5/14/2019,at ,Kentucky,L,4-7,34,4,8,4,1,0,2,2,0,1,0,0,0,1,0,9,24,10,0,0.235
5/16/2019,at ,Nebraska,L,2-5,32,2,7,2,1,0,1,2,0,0,0,1,0,0,2,7,24,10,3,0.219
5/17/2019,at ,Nebraska,L,0-7,30,0,2,0,1,0,0,6,0,0,0,0,0,0,0,10,24,9,1,0.067
5/17/2019,at ,Nebraska,W,10-8,37,10,12,10,0,0,3,5,0,0,0,2,0,1,1,4,27,8,0,0.324
5/22/2019,vs ,Ohio State,L,1-2,28,1,1,1,0,0,0,8,0,2,0,0,0,1,0,10,27,15,0,0.036
5/23/2019,vs ,Illinois,W,5-4,32,5,7,5,3,0,0,4,0,0,0,0,1,0,0,7,27,8,0,0.219
5/24/2019,vs ,Maryland,W,10-4,37,10,13,8,4,0,0,6,0,4,0,2,2,1,0,8,27,10,0,0.351
5/25/2019,vs ,Nebraska,W,18-8,46,18,19,16,2,0,1,6,0,2,1,1,0,0,1,5,27,12,1,0.413
5/25/2019,vs ,Nebraska,L,3-7,32,3,6,3,1,0,0,5,0,0,0,2,0,1,0,7,27,9,2,0.188
5/31/2019,vs ,Creighton,W,6-0,35,6,10,6,1,0,3,2,0,0,0,1,0,1,1,9,27,11,0,0.286
6/1/2019,vs ,Cincinnati,W,10-4,36,10,12,9,2,0,2,7,0,2,0,2,0,1,1,6,27,11,1,0.333
6/2/2019,vs ,Creighton,L,7-11,38,7,11,7,4,1,2,6,2,1,0,1,0,0,0,8,27,8,0,0.289
6/3/2019,vs ,Creighton,W,17-6,37,17,13,15,3,1,1,8,0,3,0,2,2,0,0,12,27,9,2,0.351
6/7/2019,at ,UCLA,W,3-2,31,3,5,3,2,0,0,1,0,0,0,0,0,1,0,9,27,10,2,0.161
6/8/2019,,UCLA,L,4-5,41,4,9,4,2,0,1,1,0,2,0,1,2,1,0,9,36,9,5,0.22
6/9/2019,at ,UCLA,W,4-2,32,4,6,4,1,1,0,4,1,2,0,0,0,1,0,9,27,11,1,0.188
6/15/2019,vs ,Texas Tech,W,5-3,33,5,8,4,0,1,0,4,0,1,0,1,0,1,2,6,27,8,0,0.242
6/17/2019,vs ,Florida State,W,2-0,34,2,7,2,0,0,1,2,0,2,1,0,0,0,0,17,27,5,0,0.206
6/21/2019,vs ,Texas Tech,W,15-3,38,15,14,14,3,0,2,12,0,1,0,3,0,0,0,11,27,14,0,0.368
6/24/2019,vs ,Vanderbilt,W,7-4,39,7,14,7,3,0,2,6,0,1,0,0,1,0,0,13,27,11,1,0.359
6/25/2019,vs ,Vanderbilt,L,1-4,32,1,4,1,0,0,0,3,0,3,0,0,1,0,0,13,27,9,2,0.125
6/26/2019,vs ,Vanderbilt,L,2-8,33,2,6,2,2,0,0,4,0,1,0,0,0,0,0,14,24,6,0,0.182
