Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
4/6/2014,,Siena,W,5-1,33,5,12,5,2,0,1,2,1,3,1,0,0,0,0,3,27,11,3,0.364
4/8/2014,,Central Michigan,L,1-10,37,1,10,1,1,0,1,2,0,0,0,0,0,0,0,6,27,12,8,0.27
4/9/2014,,Western Michigan,W,11-3,39,11,17,10,3,0,0,3,0,2,1,2,0,0,1,2,27,8,1,0.436
4/11/2014,,Purdue,L,3-5,38,3,10,3,1,0,1,3,0,0,0,2,1,1,2,7,33,12,1,0.263
4/12/2014,,Purdue,W,7-6,33,7,12,5,2,1,0,5,0,0,0,1,1,1,0,2,27,10,0,0.364
4/12/2014,,Purdue,W,2-1,31,2,9,2,1,1,0,3,0,0,1,1,0,1,0,2,27,6,0,0.29
4/16/2014,at ,Central Michigan,L,5-7,37,5,11,5,1,1,0,3,0,0,1,0,0,0,0,6,24,10,4,0.297
4/18/2014,at ,Indiana,L,0-7,30,0,6,0,1,0,0,4,0,1,0,1,0,0,1,6,24,5,1,0.2
4/19/2014,at ,Indiana,L,1-2,44,1,8,1,2,0,0,4,2,1,0,0,1,0,0,7,34,18,2,0.182
4/20/2014,at ,Indiana,L,1-4,29,1,6,1,1,0,0,5,1,1,1,0,0,0,1,6,24,12,0,0.207
4/22/2014,,Toledo,W,4-2,27,4,6,4,0,0,0,5,0,1,0,2,1,2,0,1,27,12,0,0.222
4/25/2014,,Northwestern,W,3-2,32,3,9,3,3,0,0,1,0,0,0,0,0,0,0,6,27,12,0,0.281
4/26/2014,,Northwestern,W,7-1,31,7,10,7,3,0,0,4,1,1,1,0,1,2,0,3,27,7,1,0.323
4/27/2014,,Northwestern,W,15-3,39,15,14,13,2,0,1,4,1,0,0,0,1,0,2,6,27,9,0,0.359
5/2/2014,at ,Illinois,L,4-5,35,4,10,4,3,0,0,3,0,0,1,0,0,0,1,7,24,9,0,0.286
5/3/2014,at ,Illinois,L,4-5,37,4,9,4,2,0,2,2,0,3,2,1,2,0,0,5,29,11,2,0.243
5/4/2014,at ,Illinois,L,9-10,38,9,14,8,2,0,0,3,0,1,1,1,0,1,2,3,26,9,0,0.368
5/6/2014,at ,Western Michigan,W,5-4,40,5,13,4,0,0,1,3,0,3,0,0,1,0,0,6,27,12,0,0.325
5/7/2014,,Eastern Michigan,W,12-4,39,12,18,10,1,0,1,6,0,3,2,0,0,0,1,2,27,9,2,0.462
5/10/2014,,Nebraska,L,3-5,35,3,8,2,2,0,0,0,0,0,0,0,0,0,0,3,27,12,1,0.229
5/11/2014,,Nebraska,L,1-4,29,1,4,1,1,0,0,4,0,1,0,0,1,1,0,4,27,6,0,0.138
5/12/2014,,Nebraska,L,1-4,26,1,7,1,0,0,1,0,0,0,0,0,0,0,0,2,21,6,1,0.269
5/13/2014,vs ,Central Michigan,L,4-7,34,4,6,3,2,0,0,5,0,1,0,0,0,0,0,3,24,10,2,0.176
5/16/2014,at ,Penn State,W,4-1,36,4,11,4,1,1,0,1,0,3,0,0,0,2,0,4,27,11,0,0.306
5/16/2014,at ,Penn State,W,4-2,30,4,7,4,0,0,1,2,0,5,0,1,0,1,0,2,27,6,0,0.233
5/17/2014,at ,Penn State,W,7-6,36,7,10,4,4,0,0,3,0,3,1,1,0,0,0,3,27,14,1,0.278
5/21/2014,vs ,Illinois,W,2-1,33,2,6,1,0,0,1,3,0,2,0,1,1,0,1,12,27,8,1,0.182
5/22/2014,vs ,Michigan State,W,3-2,36,3,10,3,5,0,0,1,0,0,0,0,2,0,1,8,27,14,3,0.278
5/23/2014,vs ,Illinois,W,11-2,42,11,15,10,4,0,0,4,1,1,1,0,1,0,0,7,27,9,2,0.357
5/24/2014,vs ,Michigan State,W,7-4,35,7,9,6,4,0,0,5,1,0,1,2,1,0,0,9,27,16,1,0.257
